id_listing,judul,harga,alamat,kamar_tidur,kamar_mandi,garasi/carport,luas_tanah,luas_bangunan
hos13355611,Rumah Classic Bergaya Victorian Setraduta Full Furnished,"Rp 2,65 Miliar","Setra Duta, Bandung",3,3,2,: 76 m²,: 225 m²
hos13440338,Dijual Rumah Kopo Ketapang,Rp 925 Juta,"Kopo, Bandung",2,1,2,: 168 m²,: 45 m²
hos16919960,Dijual Rumah Setra Duta Bergaya Modern Dengan Dilengkapi Kolam Renang,"Rp 8,2 Miliar","Setra Duta, Bandung",4,3,3,: 389 m²,: 400 m²
hos16920034,Rumah Setraduta Modern Bangunan Baru Dilengkapi Smartkey,"Rp 3,75 Miliar","Setra Duta, Bandung",4,3,2,: 138 m²,: 210 m²
hos8859825,"Rumah Classic Pajajaran, 4 Menit Ke Bandara Husein Sastranegara Dan Universitas Nurtanio",Rp 12 Miliar,"Bandung Kota, Bandung",8,2,2,: 359 m²,: 150 m²
hos19053846,Dijual Cepat Dibawah Harga Pasar Rumah Dalam Cluster Pasteur,Rp 860 Juta,"Pasteur, Bandung",2,1,1,: 100 m²,: 70 m²
hos18668090,Rumah Minimamlis Dekat Stt Telkom Buah Batu Harga Dibawah 1M,Rp 785 Juta,"Buah Batu, Bandung",3,2,1,: 83 m²,: 65 m²
hos15981905,Rumah Siap Huni Cocok Untuk Hunian Kantor Cafe Di Turangga,"Rp 7,5 Miliar","Turangga, Bandung",9,9,3,: 548 m²,: 580 m²
hos17168850,Rumah Keren Taman Kopo Indah Pasti Betah Yu Kita Survey,"Rp 1,26 Miliar","Taman Kopo Indah, Bandung",2,2,null,: 102 m²,: 100 m²
hos17933319,"Banggakan Keluarmu,, Rumah Nyaman Cluster Favorit Taman Kopo Indah Nego Sampe Jadi","Rp 1,4 Miliar","Taman Kopo Indah, Bandung",2,1,null,: 119 m²,: 80 m²
hos17955124,Tinggal Bawa Koper.. Rumah Modern Minimalis Taman Kopo Indah Nego Sampe Jadi,"Rp 1,55 Miliar","Taman Kopo Indah, Bandung",2,1,null,: 126 m²,: 90 m²
hos18503730,Upgrade Hidupmu.. Rumah Nyaman Lokasi Favorit Taman Kopo Indah Nego Sampe Jadi,"Rp 1,68 Miliar","Taman Kopo Indah, Bandung",3,2,null,: 152 m²,: 154 m²
hos18503763,Rumah Elit Kawasan Sultan Taman Kopo Indah.. Nego Sampe Jadi,"Rp 1,95 Miliar","Taman Kopo Indah, Bandung",2,2,null,: 170 m²,: 140 m²
hos18733002,Upgrade Hidupmu.. Rumah Nyaman Taman Kopo Indah Lingkungan Favorit Yu Survey,"Rp 1,75 Miliar","Taman Kopo Indah, Bandung",2,3,1,: 102 m²,: 113 m²
hos18796996,Cuann Rumah Nyaman Taman Kopo Indah Nego Sampe Jadi Yu Survey,Rp 975 Juta,"Taman Kopo Indah, Bandung",2,1,null,: 102 m²,: 90 m²
hos18503474,Bahagiakan Keluargamu.. Rumah Nyaman Taman Holis Nego Sampe Jadi,"Rp 1,25 Miliar","Holis Cigondewah, Bandung",3,3,null,: 90 m²,: 129 m²
hos18821948,Cuann Rumah Langka Taman Kopo Indah Nego Sampe Jadi Yu Survey,"Rp 1,2 Miliar","Taman Kopo Indah, Bandung",2,1,null,: 112 m²,: 89 m²
hos18944065,Banggakan Keluargamu.. Rumah Modern Minimalis Cluster Taman Kopo Indah Nego Sampe Jadi,"Rp 1,77 Miliar","Taman Kopo Indah, Bandung",3,2,null,: 153 m²,: 150 m²
hos18968659,Upgrade Hidupmu.. Rumah Nyaman Modern Cluster Amanda Summarecon Yu Survey,"Rp 2,65 Miliar","Gede Bage, Bandung",2,2,null,: 128 m²,: 132 m²
hos17370564,"Best Living, Rumah Minimalis Modern Kopo Impian Keluarga Kecilmu",Rp 750 Juta,"Kopo, Bandung",2,1,1,: 80 m²,: 36 m²
hos17610487,UPGRADE HIDUPMU.. Rumah Nyaman Kawasan SULTAN Rekomendasi Terbaik di KOPO MAS yu survey Yu Survey,"Rp 1,67 Miliar","Kopo, Bandung",4,3,null,: 200 m²,: 160 m²
hos17884456,Upgrade Hidupmu.. Rumah Nyaman Lokasi Tenang di Kopo Yu Kita Survey,Rp 795 Juta,"Kopo, Bandung",2,1,null,: 75 m²,: 50 m²
