id_listing,judul,harga,alamat,kamar_tidur,kamar_mandi,garasi/carport,harga_rp,luas_tanah_sqm,luas_bangunan_sqm,kecamatan,wilayah,segmen_harga,segmen_lt,latitude,longitude,jarak_pusat_kota(km)
hos13355611,Rumah Classic Bergaya Victorian Setraduta Full Furnished,"Rp 2,65 Miliar","Setra Duta, Bandung",3,3,2,2650000000,76,225,Sukasari,Bandung Utara,1.5-3M,60-120sqm,-6.889291249999999,107.58870509879455,3.37
hos13440338,Dijual Rumah Kopo Ketapang,Rp 925 Juta,"Kopo, Bandung",2,1,2,925000000,168,45,Bojongloa Kaler,Bandung Selatan,500 juta-1.5M,120-200sqm,-6.93232645,107.59074740446374,3.19
hos16919960,Dijual Rumah Setra Duta Bergaya Modern Dengan Dilengkapi Kolam Renang,"Rp 8,2 Miliar","Setra Duta, Bandung",4,3,3,8199999999,389,400,Sukasari,Bandung Utara,>7M,200-400sqm,-6.889291249999999,107.58870509879455,3.37
hos16920034,Rumah Setraduta Modern Bangunan Baru Dilengkapi Smartkey,"Rp 3,75 Miliar","Setra Duta, Bandung",4,3,2,3750000000,138,210,Sukasari,Bandung Utara,3-7M,120-200sqm,-6.889291249999999,107.58870509879455,3.37
hos8859825,"Rumah Classic Pajajaran, 4 Menit Ke Bandara Husein Sastranegara Dan Universitas Nurtanio",Rp 12 Miliar,"Bandung Kota, Bandung",8,2,2,12000000000,359,150,Sumur Bandung,Bandung Tengah,>7M,200-400sqm,-6.9143889000000005,107.61702181771668,0.86
hos19053846,Dijual Cepat Dibawah Harga Pasar Rumah Dalam Cluster Pasteur,Rp 860 Juta,"Pasteur, Bandung",2,1,1,860000000,100,70,Sukajadi,Bandung Barat,500 juta-1.5M,60-120sqm,-6.860296099999999,107.58906784137545,6.07
hos18668090,Rumah Minimamlis Dekat Stt Telkom Buah Batu Harga Dibawah 1M,Rp 785 Juta,"Buah Batu, Bandung",3,2,1,785000000,83,65,Buah Batu,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.965688011053042,107.63789418028449,6.79
hos18503474,Bahagiakan Keluargamu.. Rumah Nyaman Taman Holis Nego Sampe Jadi,"Rp 1,25 Miliar","Holis Cigondewah, Bandung",3,3,1,1250000000,90,129,Astana Anyar,Bandung Tengah,500 juta-1.5M,60-120sqm,-6.9324654500000005,107.59881535095596,2.68
hos18968659,Upgrade Hidupmu.. Rumah Nyaman Modern Cluster Amanda Summarecon Yu Survey,"Rp 2,65 Miliar","Gede Bage, Bandung",2,2,1,2650000000,128,132,Gedebage,Bandung Timur,1.5-3M,120-200sqm,-6.95283425,107.69811481410812,10.77
hos17370564,"Best Living, Rumah Minimalis Modern Kopo Impian Keluarga Kecilmu",Rp 750 Juta,"Kopo, Bandung",2,1,1,750000000,80,36,Bojongloa Kaler,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.93232645,107.59074740446374,3.19
hos17610487,UPGRADE HIDUPMU.. Rumah Nyaman Kawasan SULTAN Rekomendasi Terbaik di KOPO MAS yu survey Yu Survey,"Rp 1,67 Miliar","Kopo, Bandung",4,3,1,1670000000,200,160,Bojongloa Kaler,Bandung Selatan,1.5-3M,200-400sqm,-6.93232645,107.59074740446374,3.19
hos17884456,Upgrade Hidupmu.. Rumah Nyaman Lokasi Tenang di Kopo Yu Kita Survey,Rp 795 Juta,"Kopo, Bandung",2,1,1,795000000,75,50,Bojongloa Kaler,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.93232645,107.59074740446374,3.19
hos17884478,Banggakan Keluarga Kecilmu Rumah Nyaman Lokasi Strategis Sayap Taman Kopo Indah Yu Survey,Rp 850 Juta,"Kopo, Bandung",2,1,1,850000000,72,40,Bojongloa Kaler,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.93232645,107.59074740446374,3.19
hos14540215,"Cluster Cantik Bandung Timur Dekat Upi Nhi, Bangunan Baru 2 Lantai","Rp 2,66 Miliar","Bandung Kota, Bandung",3,2,1,2660000000,278,99,Sumur Bandung,Bandung Tengah,1.5-3M,200-400sqm,-6.9143889000000005,107.61702181771668,0.86
hos18206069,Rumah Baru Lux SHM di Tengah Kota Bandung,"Rp 7,9 Miliar","Lengkong, Bandung",4,4,2,7900000000,320,450,Lengkong,Bandung Tengah,>7M,200-400sqm,-6.9343483,107.62621853326837,3.14
hos16625658,Unit Baru Dekat Jalan Raya Kopo Ketapang Harga Dibawah 1m,Rp 800 Juta,"Kopo, Bandung",2,1,1,800000000,84,48,Bojongloa Kaler,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.93232645,107.59074740446374,3.19
hos18679558,RUMAH BISA USAHA LOKASI STRATEGIS SAYAP PAJAJARAN BANDUNG,"Rp 7,5 Miliar","Cicendo, Bandung",6,3,2,7500000000,293,225,Cicendo,Bandung Barat,>7M,200-400sqm,-6.9015514499999995,107.58697955342808,2.76
hos18385282,Rumah Super Mewah di Kawasan Elit Batunggal Bandung,"Rp 7,25 Miliar","Batununggal, Bandung",4,4,2,7250000000,300,400,Batununggal,Bandung Tengah,>7M,200-400sqm,-6.928054100000001,107.6404417263918,3.85
hos18352577,Rumah Dijual Perumahan Cibiru Bandung Bagus Terawat Siap Huni,Rp 500 Juta,"Cibiru, Bandung",2,2,1,500000000,82,75,Cibiru,Bandung Timur,500 juta-1.5M,60-120sqm,-6.915058950000001,107.72119143769423,12.29
hos19045066,Rumah Dijual Singgasana Pradana Bandung Nyaman Terawat,"Rp 3,5 Miliar","Singgasana, Bandung",3,2,1,3500000000,200,130,Bojongloa Kidul,Bandung Selatan,3-7M,200-400sqm,-6.947036199999999,107.59627135374859,4.27
hos18286446,Murah Rumah Terawat Siap Huni Di Istana Kawaluyaan,"Rp 1,1 Miliar","Soekarno Hatta, Bandung",3,3,1,1100000000,147,100,Kiaracondong,Bandung Tengah,500 juta-1.5M,120-200sqm,-6.9247499,107.6462773,4.28
hos17276064,Jl Cpt Rumah 2 Lantai Komplek Kiara Sari Asri Buahbatu Bandung,"Rp 1,2 Miliar","Buah Batu, Bandung",6,3,2,1200000000,108,150,Buah Batu,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.965688011053042,107.63789418028449,6.79
hos16618941,Jual Cepat Suap Huni   Turangga  Buah Batu Bandung,"Rp 2,35 Miliar","Turangga, Bandung",6,4,1,2350000000,142,240,Lengkong,Bandung Tengah,1.5-3M,120-200sqm,-6.9343483,107.62621853326837,3.14
hos19058463,Rumah Bagus SHM - Sertifikat Hak Milik di Tubagus Ismail,"Rp 1,65 Miliar","Tubagus Ismail, Bandung",3,2,1,1650000000,89,178,Coblong,Bandung Utara,1.5-3M,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos18981961,Rumah 1 Lantai di Komplek Puri Dago Antapani Bandung,"Rp 1,17 Miliar","Antapani, Bandung",2,2,1,1170000000,106,80,Antapani,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9178562,107.65988138469118,5.56
hos17707928,Dijual Rumah Shm Murah Di Jatihandap Dkt Pusat Kota,Rp 475 Juta,"Antapani, Bandung",2,1,1,475000000,72,40,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos16087225,Rumah Mewah di Setra Duta Lokasi Strategis Siap Huni,"Rp 12,5 Miliar","Setra Duta, Bandung",4,5,4,12500000000,394,570,Sukasari,Bandung Utara,>7M,200-400sqm,-6.889291249999999,107.58870509879455,3.37
hos16066528,Rumah Baru di Leuwi Panjang Dekat Soekarno Hatta,"Rp 2,5 Miliar","Bandung Kota, Bandung",3,2,1,2500000000,235,175,Sumur Bandung,Bandung Tengah,1.5-3M,200-400sqm,-6.9143889000000005,107.61702181771668,0.86
hos17647941,Dijual rumah murah di Jatihandap dkt cicaheum Antapani,Rp 398 Juta,"Antapani, Bandung",2,1,1,398000000,80,33,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos17888480,Dijual Rumah Cluster Mewah 2 Lantai Di Dago Kota Bandung,"Rp 2,93 Miliar","Dago, Bandung",3,2,2,2930000000,128,160,Coblong,Bandung Utara,1.5-3M,120-200sqm,-6.880933349999999,107.61392108064138,3.35
hos17647954,Dijual Rumah 2 Lantai di Jatihandap view kota bandung,Rp 497 Juta,"Antapani, Bandung",3,2,2,497000000,69,55,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos18996276,Dijual Rumah Cluster Baru Shm Kpr Di Jatihandap Kodya Bandung,Rp 496 Juta,"Arcamanik, Bandung",2,1,1,496000000,63,40,Arcamanik,Bandung Timur,<500 Juta,60-120sqm,-6.92144665,107.6770158552717,7.49
hos17314479,Dijual Rumah Mewah 2 Lantai Shm Di Dago,"Rp 2,68 Miliar","Dago, Bandung",3,2,2,2680000000,112,114,Coblong,Bandung Utara,1.5-3M,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos17740891,Dijual rumah minimalis modern di jatihandap atas dkt cicaheum,Rp 499 Juta,"Antapani, Bandung",2,1,1,499000000,76,40,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos18986383,Dijual Rumah Baru Siap Huni Di Dago Dkt Itb Unpad Kota Bandung,"Rp 2,3 Miliar","Dago, Bandung",3,2,2,2300000000,114,112,Coblong,Bandung Utara,1.5-3M,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos16681616,Jual Rumah MURAH banget di Summarecon Bandung,"Rp 1,4 Miliar","Summarecon Bandung, Bandung",2,2,1,1400000000,66,62,Gedebage,Bandung Timur,500 juta-1.5M,60-120sqm,-6.95283425,107.69811481410812,10.77
hos16019759,"jarang Ada, RUMAH SUMMARECON Bandung 2 lantai, harga 1 M an","Rp 1,35 Miliar","Summarecon Bandung, Bandung",2,2,1,1350000000,66,66,Gedebage,Bandung Timur,500 juta-1.5M,60-120sqm,-6.95283425,107.69811481410812,10.77
hos18971766,Dijual Rumah 2 Lantai Di Jatihandap Dkt Kampus Itenas Widyatama,Rp 522 Juta,"Dago, Bandung",3,2,1,522000000,55,80,Coblong,Bandung Utara,500 juta-1.5M,<60sqm,-6.880933349999999,107.61392108064138,3.35
hos18285660,Jual Rumah Lux Premium Di Summarecon Gedebage Gede Bage Kota Bandung,"Rp 4,5 Miliar","Summarecon Bandung, Bandung",3,3,2,4500000000,200,151,Gedebage,Bandung Timur,3-7M,200-400sqm,-6.95283425,107.69811481410812,10.77
hos18971706,Dijual Rumah Murah Di Jatihandap Dkt Itenas Univ Widyatama Unpad,Rp 485 Juta,"Antapani, Bandung",2,1,1,485000000,60,40,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos17658622,Dijual Rumah SHM di Jatihandap cluster one gate,Rp 485 Juta,"Antapani, Bandung",2,1,1,485000000,74,40,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos17888502,Dijual Rumah Cluster Mewah 2 Lantai Di Dago Cidadap Kota Bandung,"Rp 2,86 Miliar","Dago, Bandung",3,2,2,2860000000,120,142,Coblong,Bandung Utara,1.5-3M,120-200sqm,-6.880933349999999,107.61392108064138,3.35
hos17286534,Dijual rumah siap huni di jatihandap dkt ke pusat kota bandung,Rp 600 Juta,"Antapani, Bandung",3,2,2,600000000,84,60,Antapani,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9178562,107.65988138469118,5.56
hos17658715,Dijual rumah 2 lantai free design di jatihandap view kota bandung,Rp 552 Juta,"Antapani, Bandung",3,2,2,552000000,105,55,Antapani,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9178562,107.65988138469118,5.56
hos17852060,Dijual Rumah 2 Lantai Di Jatihandap Dkt Padasuka Cicaheum Cicadas,Rp 497 Juta,"Dago, Bandung",3,2,1,497000000,82,55,Coblong,Bandung Utara,<500 Juta,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos18827808,Dijual Rumah Shm Bisa Kpr  Di Jatihandap Dket Pusat Kota Bandung,Rp 485 Juta,"Antapani, Bandung",2,1,1,485000000,70,40,Antapani,Bandung Timur,<500 Juta,60-120sqm,-6.9178562,107.65988138469118,5.56
hos18070230,Dijual Rumah Mewah Di Komplek Mitra Dago Antapani Kota Bandung,"Rp 4,2 Miliar","Antapani, Bandung",3,3,1,4200000000,216,120,Antapani,Bandung Timur,3-7M,200-400sqm,-6.9178562,107.65988138469118,5.56
hos17852010,Dijual Rumah 2 Lantai free Design Di Jatihandap View Kota Bandung,Rp 527 Juta,"Padasuka, Bandung",3,2,1,527000000,82,55,Cibeunying Kidul,Bandung Utara,500 juta-1.5M,60-120sqm,-6.89851205,107.65007706308097,4.63
hos18614954,Dijual Rumah Shm Murah Free Design Di Jatihandap Dkt Pusat Kota,Rp 365 Juta,"Padasuka, Bandung",2,1,1,365000000,69,33,Cibeunying Kidul,Bandung Utara,<500 Juta,60-120sqm,-6.89851205,107.65007706308097,4.63
hos17681512,Dijual rumah 2 lantai KPR DP 0 persen Padasuka bandung,Rp 675 Juta,"Sayap Dago, Bandung",2,2,1,675000000,72,60,Coblong,Bandung Utara,500 juta-1.5M,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos17466847,Dijual Rumah 2 Lantai Di Jatihandap Dkt Cicaheum Cicadas,Rp 549 Juta,"Padasuka, Bandung",3,2,1,549000000,76,60,Cibeunying Kidul,Bandung Utara,500 juta-1.5M,60-120sqm,-6.89851205,107.65007706308097,4.63
hos17466822,Dijual Rumah murah di Jatihandap dkt pusat kota bandung,Rp 499 Juta,"Padasuka, Bandung",3,1,1,499000000,76,40,Cibeunying Kidul,Bandung Utara,<500 Juta,60-120sqm,-6.89851205,107.65007706308097,4.63
hos18954304,Dijual Rumah Cluster One Gate Kpr Di Jatihandap Kota Bandung,Rp 485 Juta,"Padasuka, Bandung",2,1,1,485000000,60,40,Cibeunying Kidul,Bandung Utara,<500 Juta,60-120sqm,-6.89851205,107.65007706308097,4.63
hos18210298,Dijual Rumah Siap Huni Di Jatihandap Padasuka Cicadas Cicaheum,Rp 775 Juta,"Padasuka, Bandung",2,2,1,775000000,110,140,Cibeunying Kidul,Bandung Utara,500 juta-1.5M,60-120sqm,-6.89851205,107.65007706308097,4.63
hos18416144,Jual Rumah Batununggal Bandung,"Rp 1,8 Miliar","Batununggal, Bandung",2,2,1,1800000000,126,108,Batununggal,Bandung Tengah,1.5-3M,120-200sqm,-6.928054100000001,107.6404417263918,3.85
hos18537201,Dijual Rumah Batu Indah Batununggal Bandung,"Rp 1,6 Miliar","Batununggal, Bandung",5,3,1,1600000000,142,250,Batununggal,Bandung Tengah,1.5-3M,120-200sqm,-6.928054100000001,107.6404417263918,3.85
hos18415831,Jual rumah Parakan Saat Bandung,"Rp 1,15 Miliar","Arcamanik, Bandung",3,1,1,1150000000,130,100,Arcamanik,Bandung Timur,500 juta-1.5M,120-200sqm,-6.92144665,107.6770158552717,7.49
hos18203677,"Jual Rumah Area Babakan Ciparay, Peta, Caringin","Rp 3,5 Miliar","Caringin, Bandung",4,3,2,3500000000,385,425,Bandung Kulon,Bandung Barat,3-7M,200-400sqm,-6.93193445,107.55505327116754,6.51
hos18655688,Rumah hunian asri lokasi strategis Riung Saluyu Bandung,Rp 1 Miliar,"Rancasari, Bandung",4,2,1,1000000000,100,190,Rancasari,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9535356,107.67520978505222,8.6
hos18315458,Dijual Rumah Bagus Siap Huni Di Antapani,"Rp 1,39 Miliar","Antapani, Bandung",3,2,2,1390000000,90,106,Antapani,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9178562,107.65988138469118,5.56
hos18406892,Jual Rumah Antapani Bandung,"Rp 3,8 Miliar","Antapani, Bandung",4,4,1,3800000000,268,103,Antapani,Bandung Timur,3-7M,200-400sqm,-6.9178562,107.65988138469118,5.56
hos18185752,Dijual Rumah Daerah Ciwaruga Bandung,"Rp 1,65 Miliar","Geger Kalong, Bandung",4,3,2,1650000000,108,225,Sukasari,Bandung Utara,1.5-3M,60-120sqm,-6.889291249999999,107.58870509879455,3.37
hos18192416,Jual Rumah ciwaruga Bandung,"Rp 1,94 Miliar","Geger Kalong, Bandung",4,3,1,1940000000,142,170,Sukasari,Bandung Utara,1.5-3M,120-200sqm,-6.889291249999999,107.58870509879455,3.37
hos18827758,Dijual Rumah Lama Terawat Cipaganti Siap Huni,Rp 7 Miliar,"Cipaganti, Bandung",8,3,1,7000000000,287,200,Coblong,Bandung Utara,>7M,200-400sqm,-6.880933349999999,107.61392108064138,3.35
hos18734464,Rumag Komplek Puri Dago Antapani,"Rp 1,5 Miliar","Antapani, Bandung",4,3,1,1500000000,121,128,Antapani,Bandung Timur,1.5-3M,120-200sqm,-6.9178562,107.65988138469118,5.56
hos18025538,Rumah Bagus Siap Huni Istana Sudirman Regency Cijerah,"Rp 2,8 Miliar","Cijerah, Bandung",3,2,1,2800000000,155,200,Bandung Kulon,Bandung Barat,1.5-3M,120-200sqm,-6.93193445,107.55505327116754,6.51
hos14943777,Rumah Tinggal Cocok Untuk Cafe Atau Penginapan Ciburial Dago,Rp 20 Miliar,"Dago, Bandung",5,2,4,20000000000,1970,200,Coblong,Bandung Utara,>7M,>800sqm,-6.880933349999999,107.61392108064138,3.35
hos15640383,Jual Rumah Tinggal Lokasi Strategis Sayap Pajajaran,"Rp 4,3 Miliar","Pajajaran, Bandung",4,3,2,4300000000,269,140,Cicendo,Bandung Barat,3-7M,200-400sqm,-6.9015514499999995,107.58697955342808,2.76
hos18688684,Di Jual Rumah Baru Siap Huni Lokasi Cluster Randu Residence Arcamanik Kotamadya Bandung,Rp 900 Juta,"Arcamanik, Bandung",3,1,1,900000000,101,80,Arcamanik,Bandung Timur,500 juta-1.5M,60-120sqm,-6.92144665,107.6770158552717,7.49
hos18432726,Rumah Minimalis Cantik Bali Garden City View,"Rp 1,32 Miliar","Bandung Kota, Bandung",3,2,2,1320000000,100,75,Sumur Bandung,Bandung Tengah,500 juta-1.5M,60-120sqm,-6.9143889000000005,107.61702181771668,0.86
hos18246521,Rumah Baru 1 Lantai Siap Huni Di Taman Holis Indah,Rp 850 Juta,"Holis Cigondewah, Bandung",2,1,1,850000000,87,36,Astana Anyar,Bandung Tengah,500 juta-1.5M,60-120sqm,-6.9324654500000005,107.59881535095596,2.68
hos18907333,Dijual Rumah Mewah Dalam Komplek Buahbatu Regency,"Rp 2,55 Miliar","Buah Batu, Bandung",4,3,2,2550000000,244,320,Buah Batu,Bandung Selatan,1.5-3M,200-400sqm,-6.965688011053042,107.63789418028449,6.79
hos18826136,Turun Harga Dijual Rumah Sanggar Hurip 2 Lantai Siap Huni,"Rp 1,95 Miliar","Buah Batu, Bandung",5,2,2,1950000000,229,220,Buah Batu,Bandung Selatan,1.5-3M,200-400sqm,-6.965688011053042,107.63789418028449,6.79
hos19023928,Dijual Rumah Baru di Cherry Field Dekat Tol Buahbatu,Rp 950 Juta,"Buah Batu, Bandung",3,2,1,950000000,100,80,Buah Batu,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.965688011053042,107.63789418028449,6.79
hos19023989,Dijual Murah Rumah Terawat di Komp Dadali Bojong Soang,Rp 750 Juta,"Buah Batu, Bandung",3,2,2,750000000,128,80,Buah Batu,Bandung Selatan,500 juta-1.5M,120-200sqm,-6.965688011053042,107.63789418028449,6.79
hos11867486,Rumah di Batununggal dengan kolam renang,Rp 9 Miliar,"Batununggal, Bandung",6,6,2,9000000000,450,700,Batununggal,Bandung Tengah,>7M,400-800sqm,-6.928054100000001,107.6404417263918,3.85
hos16954720,Dijual Rumah Baru Kpr Pasti Acc Angsuran 2 Jutaan Model Eropa Di Ciwastra Gedebage Dekat Sumarecon Bandung Bonus Umroh Sepeda Motor Dll,Rp 600 Juta,"Arcamanik, Bandung",2,1,1,600000000,72,45,Arcamanik,Bandung Timur,500 juta-1.5M,60-120sqm,-6.92144665,107.6770158552717,7.49
hos17795971,Rumah Murah 2 Lantai View Bandung Di Cinunuk Cibiru Bandung Harga Promo,Rp 600 Juta,"Bandung Kota, Bandung",3,2,1,600000000,55,58,Sumur Bandung,Bandung Tengah,500 juta-1.5M,<60sqm,-6.9143889000000005,107.61702181771668,0.86
hos16866581,Dijual Rumah Di Buahbatu Ciwastra Dekat Summarecon Bandung Dp 5 Juta Kpr Pasti Acc Bonus Umroh Dll,Rp 500 Juta,"Bandung Timur, Bandung",2,1,1,500000000,95,45,Arcamanik,Bandung Timur,500 juta-1.5M,60-120sqm,-6.92144665,107.6770158552717,7.49
hos16748033,Rumah Promo Dp 5 Juta Fasilitas Lengkap Di Ciwastra Buahbatu Bandung Kpr Pasti Acc Bonus Umroh Sepeda Motor Dll,Rp 500 Juta,"Bandung Utara, Bandung",2,1,1,500000000,60,40,Cidadap,Bandung Barat,500 juta-1.5M,60-120sqm,-6.8627967,107.60935594852518,5.33
hos18715208,Rumah Kpr Dp 5 Juta Pasti Acc Bank Angsuran 2 Jutaan Di Bandung Ciwastra Dekat Al Jabbar Bonus Umroh Dll,Rp 500 Juta,"Batununggal, Bandung",2,1,1,500000000,60,40,Batununggal,Bandung Tengah,500 juta-1.5M,60-120sqm,-6.928054100000001,107.6404417263918,3.85
hos18715305,Rumah Baru Di Buahbatu Ciwastra Bandung Kpr Pasti Acc Dp 5 Juta Bonus Umroh Sepeda Motor Dll,Rp 500 Juta,"Buah Batu, Bandung",2,1,1,500000000,60,40,Buah Batu,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.965688011053042,107.63789418028449,6.79
hos16738046,Rumah Kpr Pasti Acc Bank Di Kawasan Gedebage Ciwastra Dp 5 Juta Angsuran Mulai 2 Jutaan Bonus Umroh Dll,Rp 500 Juta,"Bandung Kota, Bandung",2,1,1,500000000,60,40,Sumur Bandung,Bandung Tengah,500 juta-1.5M,60-120sqm,-6.9143889000000005,107.61702181771668,0.86
hos17075867,Rumah Furnish Bagus  Puri Dago Mas Antapani Bandung,"Rp 3,5 Miliar","Antapani, Bandung",4,4,2,3500000000,119,250,Antapani,Bandung Timur,3-7M,60-120sqm,-6.9178562,107.65988138469118,5.56
hos19057481,Rumah Siap Huni di Ciwaruga Cigugur Girang Dkt Gegerkalong Setiabudi,Rp 989 Juta,"Geger Kalong, Bandung",2,2,1,989000000,101,55,Sukasari,Bandung Utara,500 juta-1.5M,60-120sqm,-6.889291249999999,107.58870509879455,3.37
hos19057423,Rumah Murah di Jatihandap Islamic Centre Dkt Padasuka Antapani,Rp 365 Juta,"Padasuka, Bandung",2,1,1,365000000,69,36,Cibeunying Kidul,Bandung Utara,<500 Juta,60-120sqm,-6.89851205,107.65007706308097,4.63
hos12457859,Dijual Rumah Summarecon Cluster Amanda Bagus Siap Huni Unfurnished Bandung,"Rp 2,35 Miliar","Gede Bage, Bandung",2,1,1,2350000000,112,97,Gedebage,Bandung Timur,1.5-3M,60-120sqm,-6.95283425,107.69811481410812,10.77
hos18805890,Rumah Batununggal 3 Lantai Hadap Timur Nyaman Lux Tropical Modern,Rp 11 Miliar,"Batununggal, Bandung",7,5,2,11000000000,375,600,Batununggal,Bandung Tengah,>7M,200-400sqm,-6.928054100000001,107.6404417263918,3.85
hos18909108,Rumah Baru Minimalis 1 Lantai di Setiabudi Regency,Rp 13 Miliar,"Setiabudi, Bandung",3,3,1,13000000000,912,400,Sukasari,Bandung Utara,>7M,>800sqm,-6.889291249999999,107.58870509879455,3.37
hos18834997,Rumah Cantik Siap Huni Batununggal Indah Buah Batu Bandung,"Rp 3,5 Miliar","Batununggal, Bandung",3,3,2,3500000000,190,300,Batununggal,Bandung Tengah,3-7M,120-200sqm,-6.928054100000001,107.6404417263918,3.85
hos18965673,Rumah Minimalis Siap Huni Cluster Green Grande Ciwastra Bandung,Rp 690 Juta,"Ciwastra, Bandung",2,1,1,690000000,84,60,Buah Batu,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.965688011053042,107.63789418028449,6.79
hos18965677,Rumah Bagus Buah Batu Residence Topindo Bandung,"Rp 1,3 Miliar","Terusan Buah Batu, Bandung",3,2,1,1300000000,102,135,Lengkong,Bandung Tengah,500 juta-1.5M,60-120sqm,-6.9343483,107.62621853326837,3.14
hos18965669,Rumah Minimalis Siap Huni Cluster De Green Grande Margacinta,Rp 690 Juta,"Ciwastra, Bandung",2,1,1,690000000,84,50,Buah Batu,Bandung Selatan,500 juta-1.5M,60-120sqm,-6.965688011053042,107.63789418028449,6.79
hos18922626,Di Jual Rumah Gress Lingkungan Nyaman Plus Furnis Lokasi Cigadung Dago,"Rp 1,85 Miliar","Dago, Bandung",3,3,1,1850000000,92,159,Coblong,Bandung Utara,1.5-3M,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos18908401,Turun Harga Rumah Murah Mainroad Cigadung Dago Bandung,"Rp 1,3 Miliar","Sayap Dago, Bandung",4,1,1,1300000000,112,110,Coblong,Bandung Utara,500 juta-1.5M,60-120sqm,-6.880933349999999,107.61392108064138,3.35
hos18767857,Rumah Minimalis 2lantai Padasuka Jatihandap Bandung,"Rp 1,25 Miliar","Cikutra, Bandung",3,2,1,1250000000,151,180,Cibeunying Kidul,Bandung Utara,500 juta-1.5M,120-200sqm,-6.89851205,107.65007706308097,4.63
hos18676553,Rumah Baru Dekat Mesjid Al Jabar Gede Bage Panyileukan Bandung,Rp 850 Juta,"Arcamanik, Bandung",2,1,1,850000000,90,69,Arcamanik,Bandung Timur,500 juta-1.5M,60-120sqm,-6.92144665,107.6770158552717,7.49
hos18556844,Rumah Murah Siaphuni Griya Gasmin Antapani Bandung,Rp 850 Juta,"Antapani, Bandung",3,1,1,850000000,91,101,Antapani,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9178562,107.65988138469118,5.56
hos18823265,Rumah Minimalis Siaphuni Sindanglaya Cijambe Ujungberung Bandung,Rp 765 Juta,"Ujungberung, Bandung",2,1,2,765000000,140,55,Ujungberung,Bandung Timur,500 juta-1.5M,120-200sqm,-6.9053267,107.710954740483,11.17
hos18592193,Turun Harga Rumah Mainroad Area Pasteur Setraduta Bandung,"Rp 1,65 Miliar","Pasteur, Bandung",2,2,1,1650000000,232,200,Sukajadi,Bandung Barat,1.5-3M,200-400sqm,-6.860296099999999,107.58906784137545,6.07
hos18503679,Rumah Murah Belakang Metro Margahayu Soekarno Hatta Bandung,Rp 700 Juta,"Rancasari, Bandung",1,1,1,700000000,80,54,Rancasari,Bandung Timur,500 juta-1.5M,60-120sqm,-6.9535356,107.67520978505222,8.6
hos18862128,Rumah Murah Belakang Griya Arcamanik Endah Bandung,"Rp 1,1 Miliar","Arcamanik, Bandung",2,1,2,1100000000,209,133,Arcamanik,Bandung Timur,500 juta-1.5M,200-400sqm,-6.92144665,107.6770158552717,7.49
