order,Kecamatan,Latitude,Longitude
1,Andir,-6.906075242,107.5761402
2,Andir,-6.906209107,107.576346
3,Andir,-6.906406019,107.5766444
4,Andir,-6.90643198,107.5766837
5,Andir,-6.906617743,107.5769561
6,Andir,-6.906918684,107.5773991
7,Andir,-6.907054712,107.5775988
8,Andir,-6.907427241,107.5781766
9,Andir,-6.907559511,107.5783791
10,Andir,-6.907642844,107.5785038
11,Andir,-6.907849013,107.5788042
12,Andir,-6.907970143,107.5789753
13,Andir,-6.908053752,107.5790808
14,Andir,-6.908142347,107.5790298
15,Andir,-6.908214986,107.5791401
16,Andir,-6.908547565,107.5796466
17,Andir,-6.908572652,107.5796842
18,Andir,-6.90877542,107.5799896
19,Andir,-6.908987148,107.5802998
20,Andir,-6.909055809,107.5803983
21,Andir,-6.909134893,107.5805217
22,Andir,-6.909341343,107.5808271
23,Andir,-6.909646517,107.5812785
24,Andir,-6.909838172,107.5815719
25,Andir,-6.910007812,107.5818315
26,Andir,-6.910106232,107.5819734
27,Andir,-6.910233794,107.5821625
28,Andir,-6.910355733,107.5823538
29,Andir,-6.910638711,107.58277
30,Andir,-6.910805943,107.5830312
31,Andir,-6.910914299,107.583199
32,Andir,-6.911046368,107.5834038
33,Andir,-6.911046431,107.5834039
34,Andir,-6.911612998,107.5842458
35,Andir,-6.911784708,107.5844964
36,Andir,-6.911984718,107.5847786
37,Andir,-6.912154666,107.5850002
38,Andir,-6.912192987,107.5850562
39,Andir,-6.912519499,107.5855328
40,Andir,-6.912944736,107.5861555
41,Andir,-6.913376751,107.5869727
42,Andir,-6.913482128,107.5871855
43,Andir,-6.913538475,107.5872613
44,Andir,-6.913605567,107.5873475
45,Andir,-6.913801364,107.5878975
46,Andir,-6.913818006,107.5879431
47,Andir,-6.913780636,107.58805
48,Andir,-6.913806184,107.588122
49,Andir,-6.91369252,107.5881714
50,Andir,-6.913769543,107.5884114
51,Andir,-6.913818107,107.5885153
52,Andir,-6.913829915,107.5885609
53,Andir,-6.913913712,107.5889451
54,Andir,-6.913814933,107.5890987
55,Andir,-6.913857204,107.5892043
56,Andir,-6.913887777,107.5893592
57,Andir,-6.913905129,107.5894906
58,Andir,-6.913931609,107.589702
59,Andir,-6.91394755,107.5900284
60,Andir,-6.913965122,107.5905597
61,Andir,-6.913975902,107.5910108
62,Andir,-6.913989505,107.5915964
63,Andir,-6.914032897,107.5931871
64,Andir,-6.914035679,107.5934063
65,Andir,-6.91422884,107.5948544
66,Andir,-6.914255284,107.5953661
67,Andir,-6.914281376,107.5958711
68,Andir,-6.914292348,107.5965898
69,Andir,-6.914311625,107.5970959
70,Andir,-6.914311636,107.5970968
71,Andir,-6.914323604,107.5979945
72,Andir,-6.914317255,107.5981088
73,Andir,-6.91431725,107.5981089
74,Andir,-6.914312093,107.5981896
75,Andir,-6.914313362,107.5982783
76,Andir,-6.914313226,107.5983743
77,Andir,-6.914336153,107.5991008
78,Andir,-6.914336097,107.5991308
79,Andir,-6.914316339,107.6002005
80,Andir,-6.914310257,107.6013135
81,Andir,-6.914362081,107.6020394
82,Andir,-6.91436612,107.602332
83,Andir,-6.914369918,107.602411
84,Andir,-6.914386909,107.6027643
85,Andir,-6.914391509,107.60286
86,Andir,-6.914499822,107.6036801
87,Andir,-6.914525322,107.6039034
88,Andir,-6.914526235,107.6039099
89,Andir,-6.914589323,107.6042795
90,Andir,-6.914603142,107.6045731
91,Andir,-6.914603156,107.6045733
92,Andir,-6.914777606,107.6045649
93,Andir,-6.914867946,107.6045583
94,Andir,-6.914939034,107.6045495
95,Andir,-6.915371662,107.6045157
96,Andir,-6.915810334,107.6044918
97,Andir,-6.916128577,107.6044635
98,Andir,-6.91676911,107.6044038
99,Andir,-6.917253611,107.6043571
100,Andir,-6.91743124,107.6043399
101,Andir,-6.917768039,107.6043061
102,Andir,-6.918129646,107.6042835
103,Andir,-6.918250512,107.6042833
104,Andir,-6.918751701,107.6042557
105,Andir,-6.919158581,107.6042195
106,Andir,-6.919996117,107.6041675
